word,count,freq,log_freq,tfidf,tfiedf
a2,6,3.16e-06,-12.664938530365454,-0.4737488449402578,1898734.17721519
googled,2,1.07e-06,-13.747851909490459,-0.1454772726071739,1869158.878504673
programmable,2,1.07e-06,-13.747851909490459,-0.1454772726071739,1869158.878504673
tenths,2,1.12e-06,-13.70218187265727,-0.1459621554134385,1785714.2857142857
meditation,18,1.02e-05,-11.493122837674049,-1.5661539734872265,1764705.882352941
buena,2,1.15e-06,-13.675748615589116,-0.14624427928721803,1739130.4347826086
earns,5,2.88e-06,-12.75772026381642,-0.39191955118980404,1736111.1111111112
bothers,6,3.47e-06,-12.571355964005507,-0.4772754838204637,1729106.628242075
moore's,2,1.17e-06,-13.65850680915461,-0.14642889065000142,1709401.7094017093
a12,12,7.24e-06,-11.83588935156665,-1.013865510529771,1657458.5635359115
yelp,2,1.23e-06,-13.608496388579947,-0.14696700817574312,1626016.2601626015
bots,2,1.23e-06,-13.608496388579947,-0.14696700817574312,1626016.2601626015
transcend,2,1.23e-06,-13.608496388579947,-0.14696700817574312,1626016.2601626015
opposites,2,1.26e-06,-13.584398837000888,-0.14722771496906023,1587301.5873015872
4a,2,1.26e-06,-13.584398837000888,-0.14722771496906023,1587301.5873015872
bummed,2,1.26e-06,-13.584398837000888,-0.14722771496906023,1587301.5873015872
deviation,5,3.16e-06,-12.664938530365454,-0.3947907041168815,1582278.4810126582
